敏感词	属性
輪	
耣	
綸	
大法	b)0613
法功	c
法会	b-
法轮	b-m
法谪	c
功法	b-
讲法	b-
轮大	c
轮功	b-m
明慧	b-(12?眼如)
伪火	c
大法轮	c
大纪元	c
法轮功	b-m
法谪功	c
李大师	c
李洪志	b-m
轮子功	1b0630
明慧网	cfcm
新唐人	cm
真善忍	b-
正见网	cfc
转法轮	b-
传九促三	c
大法弟子	c
法轮大法	b-mckc
法轮佛法	c
轮子小报	c
明慧周报	c
神韵艺术	c
宇宙大法	c
宇宙主佛	c
新唐人电视台	cf（新唐人電視臺）
卡辛纳大道和三福大道交界处	c
氵去	
车仑	
車侖	
三去车仑	
三去车侖	
三去車仑	
三去車侖	
水去车仑	
水去车侖	
水去車仑	
水去車侖	
车仑工力	
氵去车仑工力	
三去车仑工力	
法轮	b-
法仑	cmb(
法纶	
法伦	
法论	
法抡	
法沦	
法囵	
发轮	
发仑	
发纶	
发伦	
发论	
发抡	
发沦	
发囵	
伐轮	
伐仑	
伐伦	
伐论	
伐抡	
伐沦	
伐囵	
珐轮	
珐仑	
珐纶	
珐伦	
珐论	
珐抡	
珐沦	
珐囵	
乏轮	
乏仑	
乏纶	
乏伦	
乏论	
乏抡	
乏沦	
乏囵	
砝轮	
砝仑	
砝纶	
砝伦	
砝论	
砝抡	
砝沦	
砝囵	
垡轮	
垡仑	
垡纶	
垡伦	
垡论	
垡抡	
垡沦	
垡囵	
法論	
法綸	
法倫	
法輪	
法侖	
法淪	
法掄	
發論	
發綸	
發倫	
發輪	
發侖	
發淪	
發掄	
罚仑	
罚纶	
罚伦	
罚抡	
罚沦	
罚囵	
筏仑	
筏纶	
筏伦	
筏论	
筏抡	
筏沦	
筏囵	
灋輪	
發~論	
發~綸	
發~倫	
發~輪	
發~侖	
發~淪	
發~掄	
發^論	
發^綸	
發^倫	
發^輪	
發^侖	
發^淪	
發^掄	
發$$論	
發$$綸	
發$$倫	
發$$輪	
發$$侖	
發$$淪	
發$$掄	
發^^論	
發^^綸	
發^^倫	
發^^輪	
發^^侖	
發^^淪	
發^^掄	
發~~論	
發~~綸	
